question_id,document_id,config,section_f1,top_ids
auto_048,bd2f85ad_웹:파이썬 프로그래밍 프로젝트 #6 보고서_index.json,current_60_25_15,0.6,ch1|sec1.3|ch6|art1.3.1|root
auto_048,bd2f85ad_웹:파이썬 프로그래밍 프로젝트 #6 보고서_index.json,pure_bm25_100_0_0,0.6,ch1|sec1.3|art1.3.1|ch6|root
auto_048,bd2f85ad_웹:파이썬 프로그래밍 프로젝트 #6 보고서_index.json,pure_semantic_0_100_0,0.6,sec1.3|ch1|ch6|root|art1.3.1
auto_048,bd2f85ad_웹:파이썬 프로그래밍 프로젝트 #6 보고서_index.json,pure_structural_0_0_100,0.6,root|ch1|ch6|sec1.3|art1.3.1
auto_048,bd2f85ad_웹:파이썬 프로그래밍 프로젝트 #6 보고서_index.json,equal_33_33_33,0.6,ch1|sec1.3|root|ch6|art1.3.1
auto_048,bd2f85ad_웹:파이썬 프로그래밍 프로젝트 #6 보고서_index.json,bm25_heavy_80_10_10,0.6,ch1|sec1.3|ch6|art1.3.1|root
auto_048,bd2f85ad_웹:파이썬 프로그래밍 프로젝트 #6 보고서_index.json,semantic_heavy_20_70_10,0.6,ch1|sec1.3|ch6|root|art1.3.1
auto_079,hotpotqa_hp_sample_002_index.json,current_60_25_15,0.5,SEC1|SEC0|ROOT
auto_079,hotpotqa_hp_sample_002_index.json,pure_bm25_100_0_0,0.5,SEC1|SEC0|ROOT
auto_079,hotpotqa_hp_sample_002_index.json,pure_semantic_0_100_0,0.5,SEC1|SEC0|ROOT
auto_079,hotpotqa_hp_sample_002_index.json,pure_structural_0_0_100,0.5,ROOT|SEC1|SEC0
auto_079,hotpotqa_hp_sample_002_index.json,equal_33_33_33,0.5,SEC1|ROOT|SEC0
auto_079,hotpotqa_hp_sample_002_index.json,bm25_heavy_80_10_10,0.5,SEC1|SEC0|ROOT
auto_079,hotpotqa_hp_sample_002_index.json,semantic_heavy_20_70_10,0.5,SEC1|SEC0|ROOT
auto_006,0cbccdf9_2204.08939v1-2_index.json,current_60_25_15,0.5714285714285715,doc|ch2.s3.a3|ch1|ch2|ch4
auto_006,0cbccdf9_2204.08939v1-2_index.json,pure_bm25_100_0_0,0.5714285714285715,doc|ch2.s3.a3|ch1|ch2.s3.a2|ch2.s1
auto_006,0cbccdf9_2204.08939v1-2_index.json,pure_semantic_0_100_0,0.0,ch2.s1.a2|ch2.s3.a1|ch2.s3.a2|ch2.s1|ch2.s3
auto_006,0cbccdf9_2204.08939v1-2_index.json,pure_structural_0_0_100,0.5714285714285715,doc|ch1|ch2|ch4|ch2.s1
auto_006,0cbccdf9_2204.08939v1-2_index.json,equal_33_33_33,0.5714285714285715,doc|ch1|ch2.s3.a3|ch2|ch4
auto_006,0cbccdf9_2204.08939v1-2_index.json,bm25_heavy_80_10_10,0.5714285714285715,doc|ch2.s3.a3|ch1|ch2|ch2.s1
auto_006,0cbccdf9_2204.08939v1-2_index.json,semantic_heavy_20_70_10,0.5714285714285715,doc|ch2.s3.a3|ch1|ch2.s1.a2|ch2
auto_014,2025학년도 교육과정 반도체공학과_index.json,current_60_25_15,0.6666666666666666,1.2|1|5.2|12.44
auto_014,2025학년도 교육과정 반도체공학과_index.json,pure_bm25_100_0_0,0.6666666666666666,1.2|5.2|1|12.44
auto_014,2025학년도 교육과정 반도체공학과_index.json,pure_semantic_0_100_0,0.6666666666666666,1|12.44|1.2|5.2
auto_014,2025학년도 교육과정 반도체공학과_index.json,pure_structural_0_0_100,0.6666666666666666,1|1.2|5.2|12.44
auto_014,2025학년도 교육과정 반도체공학과_index.json,equal_33_33_33,0.6666666666666666,1.2|1|5.2|12.44
auto_014,2025학년도 교육과정 반도체공학과_index.json,bm25_heavy_80_10_10,0.6666666666666666,1.2|1|5.2|12.44
auto_014,2025학년도 교육과정 반도체공학과_index.json,semantic_heavy_20_70_10,0.6666666666666666,1.2|1|12.44|5.2
auto_038,92928ecd_생체의공학개론_보고서_index.json,current_60_25_15,0.0,CH-01|SEC-01-01|DOC-2025104184
auto_038,92928ecd_생체의공학개론_보고서_index.json,pure_bm25_100_0_0,0.0,CH-01|SEC-01-01|DOC-2025104184
auto_038,92928ecd_생체의공학개론_보고서_index.json,pure_semantic_0_100_0,0.0,CH-01|DOC-2025104184|SEC-01-01
auto_038,92928ecd_생체의공학개론_보고서_index.json,pure_structural_0_0_100,0.0,DOC-2025104184|CH-01|SEC-01-01
auto_038,92928ecd_생체의공학개론_보고서_index.json,equal_33_33_33,0.0,CH-01|DOC-2025104184|SEC-01-01
auto_038,92928ecd_생체의공학개론_보고서_index.json,bm25_heavy_80_10_10,0.0,CH-01|SEC-01-01|DOC-2025104184
